idx,name,tokens,arith,cmp,bit,index,call,ret,loop,assign,reader,strings,nums,class
0,MC,104,0,4,0,2,2,1,2,6,,0,11,"loop/control, compare/branch, returns-value, mutates-state"
1,mC,166,4,3,0,10,2,1,2,11,,0,16,"loop/control, compare/branch, arithmetic, table-index, returns-value, mutates-state"
2,y,116,0,2,0,7,2,1,1,9,yes,0,11,"bytecode-reader, loop/control, compare/branch, table-index, returns-value, mutates-state"
3,o,22,0,0,0,1,1,0,0,1,yes,0,1,bytecode-reader
4,F4,62,0,0,0,4,2,1,0,4,,0,4,"table-index, returns-value, mutates-state"
5,O4,69,5,1,0,8,0,1,0,2,,0,9,"arithmetic, table-index, returns-value"
6,qC,184,2,1,0,0,3,2,1,4,,0,3,"loop/control, call-heavy, returns-value, mutates-state"
7,pC,21,0,0,0,0,1,0,0,0,,0,0,unclassified
8,l,183,4,3,0,14,1,1,1,10,,0,20,"loop/control, compare/branch, arithmetic, table-index, returns-value, mutates-state"
9,kC,21,0,0,0,1,1,1,0,1,,0,1,returns-value
10,Ao,268,7,5,0,9,5,4,1,13,,0,16,"loop/control, compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
11,Ro,19,0,0,0,2,0,0,0,1,,0,2,unclassified
12,e4,42,0,0,0,2,2,1,0,2,,0,3,returns-value
13,zo,144,0,4,0,4,2,1,2,6,,0,9,"loop/control, compare/branch, table-index, returns-value, mutates-state"
14,po,12624,303,398,0,1077,190,12,50,713,,13,932,"loop/control, compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
15,DC,14,0,0,0,0,0,1,0,0,,0,1,returns-value
16,j,81,4,1,0,7,1,1,0,2,,0,8,"arithmetic, table-index, returns-value"
17,T,21,0,0,0,1,0,1,0,1,,0,1,returns-value
18,L4,118,0,2,0,5,1,1,1,8,,0,8,"loop/control, compare/branch, table-index, returns-value, mutates-state"
19,n,415,13,7,0,30,10,3,0,14,,0,42,"compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
20,T4,19,0,0,0,1,0,1,0,1,,0,1,returns-value
21,Z4,59,0,2,0,1,2,1,0,2,,0,3,"compare/branch, returns-value"
22,_4,129,5,0,0,10,7,1,0,3,,0,12,"arithmetic, table-index, call-heavy, returns-value, mutates-state"
23,N4,275,9,3,0,28,6,2,1,10,,0,34,"loop/control, compare/branch, arithmetic, table-index, call-heavy, returns-value, mutates-state"
24,w,136,8,1,0,13,3,1,0,3,,0,15,"arithmetic, table-index, call-heavy, returns-value, mutates-state"
25,u,95,2,2,0,10,2,1,0,2,,0,11,"compare/branch, table-index, returns-value"
26,v,73,2,0,0,4,3,1,0,2,,0,5,"table-index, call-heavy, returns-value"
27,W,21,0,0,0,1,0,1,0,1,,0,1,returns-value
28,y4,32,1,0,0,2,1,1,0,2,,0,4,returns-value
29,k4,95,0,2,0,4,1,1,1,6,,0,7,"loop/control, compare/branch, table-index, returns-value, mutates-state"
